ID,Title,Year,Genres,Source,Current_Poster,Current_Backdrop,Needs_Poster,Needs_Backdrop
"1","The Shawshank Redemption","1994","Drama","dataset-train","https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflNmkJq5Q2rE2E.jpg","https://image.tmdb.org/t/p/w1280/xBKGJQsAIeweesB79KC89FpBrVr.jpg","false","false"
"1001","Before It's Too Late: A Film on Teenage Suicide","1985","Drama","dataset-train","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1280&h=720&fit=crop","true","true"
"1002","Taken from Me: The Tiffany Rubin Story","2011","Drama","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1003","Calm at Sunset","1996","Drama","dataset-train","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1004","Fallen Angel","1981","Drama","dataset-train","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=1280&h=720&fit=crop","true","true"
"1005","Half Dead","2005","Thriller","dataset-train","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1006","Adventures with Wink and Blink: A Day in the Life of a Zoo","2005","Family","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1007","Cruising Bar 2","2008","Comedy","dataset-train","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=1280&h=720&fit=crop","true","true"
"1008","Pauly Shore Is Dead","2003","Comedy","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1009","Wake (2012/IX)","1951","Short","dataset-train","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1010","Juan Marsé habla de Juan Marsé","2012","Biography","dataset-train","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=1280&h=720&fit=crop","true","true"
"1011","Magická Praha","2015","Short","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1012","Plan 10: The Vengeance of Bela","1983","Horror","dataset-train","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1280&h=720&fit=crop","true","true"
"1013","All the Ordinary Angels","2015","Drama","dataset-train","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=1280&h=720&fit=crop","true","true"
"1014","Code of the Prairie","1944","Western","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1280&h=720&fit=crop","true","true"
"1015","Happy Console Gamer: The Movie","2012","Comedy","dataset-train","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1016","My Night with Reg","1997","Drama","dataset-train","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1017","Saddle Mountain Roundup","1941","Western","dataset-train","https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1018","Thalai Nagaram","2006","Family","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=1280&h=720&fit=crop","true","true"
"1019","Hotýlek v srdci Evropy","1994","Comedy","dataset-train","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1280&h=720&fit=crop","true","true"
"1020","\","1977","Talk-Show","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=1280&h=720&fit=crop","true","true"
"1021","\","2017","Crime","dataset-train","https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=1280&h=720&fit=crop","true","true"
"1022","\","2013","Reality-TV","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=1280&h=720&fit=crop","true","true"
"1023","\","1978","Comedy","dataset-train","https://images.unsplash.com/photo-1489599510095-d93d9ad86e8d?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1440404653325-ab127d49abc1?w=1280&h=720&fit=crop","true","true"
"1024","From an End to Another: Journey Through Lampedusa's Mosaic","2012","Documentary","dataset-train","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=500&h=750&fit=crop","https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=1280&h=720&fit=crop","true","true"
